9781479806898	The Counter-Revolution of 1776: Slave Resistance and the Origins of the United States of America	Gerald Horne	22	Paperback	NYU Press
9781509503414	1: Marx and Foucault: Essays	Antonio Negri	19.95	Paperback	Polity
9781560978473	MOME Summer 2007 (Vol. 8) (v. 8)	Eric Reynolds	14.95	Paperback	Fantagraphics Books
9781560983705	MAKING PEOPLES MUSIC PB	GOLDSMITH PETER D	19.95	Paperback	Smithsonian
9781560983705	MAKING PEOPLES MUSIC PB	GOLDSMITH PETER D	19.95	Paperback	Smithsonian
9781560983705	MAKING PEOPLES MUSIC PB	GOLDSMITH PETER D	19.95	Paperback	Smithsonian
9781579510107	Amazing Dope Tales	Stephen Gaskin	12.95	Paperback	Ronin Publishing
9781583676257	Syriza Wave: Surging and Crashing with the Greek Left	Helena Sheehan	26	Paperback	Monthly Review Press
9781606993958	Mome Fall 2011 (Vol. 22)  (Mome)	Eric Reynolds	19.99	Paperback	Fantagraphics
9781620490723	Millenarian Rebels	Wolfi Landstreicher	7	Paperback	
9781626254060	How to Be Miserable: 40 Strategies You Already Use	Randy J. Paterson PhD	15.95	Paperback	New Harbinger Publications
9781629634500	The Future Generation: The Zine-Book for Subculture Parents, Kids, Friends & Others	China Martens	22	Paperback	PM Press
9781680452532	Make: Tools: How They Work and How to Use Them	Charles Platt	24.99	Paperback	Maker Media, Inc
9781770462793	Hostage	Guy Delisle	29.95	Hardcover	Drawn and Quarterly
9781783606108	The Global Minotaur: America, Europe and the Future of the Global Economy (Economic Controversies)	Yanis Varoufakis	12.95	Paperback	Zed Books
9781845201937	Living with Globalization	Paul Hopper	37.95	Paperback	Bloomsbury Academic
9781845201937	Living with Globalization	Paul Hopper	37.95	Paperback	Bloomsbury Academic
9781848192645	Pain is Really Strange	Steve Haines	12.95	Paperback	Singing Dragon
9781848192645	Pain is Really Strange	Steve Haines	12.95	Paperback	Singing Dragon
9781848192645	Pain is Really Strange	Steve Haines	12.95	Paperback	Singing Dragon
9781848312180	The Genius in All of Us: Why Everything You've Been Told About Genes, Talent and Intelligence is Wrong	David Shenk	5	Paperback	Icon Books
9781848312180	The Genius in All of Us: Why Everything You've Been Told About Genes, Talent and Intelligence is Wrong	David Shenk	5	Paperback	Icon Books
9781848315891	Introducing Particle Physics: A Graphic Guide	Tom Whyntie	9.95	Paperback	Icon Books
9781859842072	Female Sexualization: A Collective Work of Memory (Verso Classsic)	Frigga Haug	29.95	Paperback	Verso
9781861890917	Extreme Europe	Stephen Barber	25	Paperback	Reaktion Books
9781861890917	Extreme Europe	Stephen Barber	25	Paperback	Reaktion Books
9781894037587	Lyrics and Poems, 1997-2012	John K. Samson	14.95	Paperback	Arbeiter Ring Pub
9781894037587	Lyrics and Poems, 1997-2012	John K. Samson	14.95	Paperback	Arbeiter Ring Pub
9781894037921	Indianland	Lesley Belleau	18.95	Paperback	Arbeiter Ring Publishing
9781897299210	Pyongyang: A Journey in North Korea	Guy Delisle	14.95	Paperback	Drawn and Quarterly
9781908211422	Abandoned America: Dismantling The Dream	Matthew Christopher	39.95	Hardcover	Carpet Bombing Culture
9781908714473	Vajournal: Feminist Interactions and Interventions	Isabella Bunnell	14.95	Paperback	Cicada Books
9781925240344	How to Be Happy: A Memoir of Love, Sex and Teenage Confusion	David Burton	13.95	Paperback	Text Publishing Company
9781926662909	share: Delicious Dishes from Foodshare and Friends	Adrienne De Francesco	20	Paperback	Between the Lines
9781938584350	We're On: A June Jordan Reader	‘Christopher Keller’, ‘Jan Heller Levi’	24.95	Paperback	Alice James Books
9781939681690	Grassroots Zen: Community and Practice in the Twenty-First Century	'Perle Besserman', 'Manfred Steger'	15.95	Paperback	Monkfish Book Publishing
9781974250509	rediscovering Spirit: chapter 1: the spark	jkharij	11.11	Paperback	CreateSpace Independent Publishing Platform
9781974250509	rediscovering Spirit: chapter 1: the spark	jkharij	11.11	Paperback	CreateSpace Independent Publishing Platform
9781974250509	rediscovering Spirit: chapter 1: the spark	jkharij	11.11	Paperback	CreateSpace Independent Publishing Platform
9781974250509	rediscovering Spirit: chapter 1: the spark	jkharij	11.11	Paperback	CreateSpace Independent Publishing Platform
9781974250509	rediscovering Spirit: chapter 1: the spark	jkharij	11.11	Paperback	CreateSpace Independent Publishing Platform
9782980576386	The Legend of the Rat King	Norman Nawrocki	16.95	Paperback	Les Pages Noire
9786070739484	Confesiones de una mala feminista (Spanish Edition)	Gay	16.95	Paperback	Planeta Publishing
9786070739583	Entre el mundo y yo (Spanish Edition)	Coates	12.95	Paperback	Planeta Publishing
9786070739583	Entre el mundo y yo (Spanish Edition)	Coates	12.95	Paperback	Planeta Publishing
9786073139250	Armas, gérmenes y acero / Guns, Germs, and Steel: The Fates of Human Societies (Spanish Edition)	Jared Diamond	13.95	Paperback	Debolsillo
9788439730484	Todos deberíamos ser feministas / We Should All Be Feminists (Spanish Edition)	Chimamanda Ngozi Adichie	6.95	Paperback	Literatura Random House
9788466659888	Quién domina el mundo? (Spanish Edition)	Noam Chomsky	25.95	Paperback	Ediciones B
9789063694517	The Book of Do-ness: 234.5 Ideas to Beat your Daily Laziness	Sara van de Ven	19.95	Hardcover	BIS Publishers
9780062364685	Queen of Bebop: The Musical Lives of Sarah Vaughan	Elaine Hayes	27.99	Hardcover	Ecco
9780062389657	The Humane Economy: How Innovators and Enlightened Consumers Are Transforming the Lives of Animals	Wayne Pacelle	16.99	Paperback	William Morrow Paperbacks
9780062692313	How to Be Black	Baratunde Thurston	10	Paperback	Harper Perennial
9780140390445	Walden and Civil Disobedience (Penguin American Library)	Henry David Thoreau	14	Paperback	Penguin Classics
9780140587647	The Descent of Alette (Penguin Poets)	Alice Notley	20	Paperback	Penguin Books
9780140587647	The Descent of Alette (Penguin Poets)	Alice Notley	20	Paperback	Penguin Books
9780140587647	The Descent of Alette (Penguin Poets)	Alice Notley	20	Paperback	Penguin Books
9780143131298	Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity	Douglas Rushkoff	17	Paperback	Portfolio
9780153022517	Last summer with Maizon (Passports)	Jacqueline Woodson	5	Paperback	Harcourt Brace & Co
9780153022517	Last summer with Maizon (Passports)	Jacqueline Woodson	5	Paperback	Harcourt Brace & Co
9780153022517	Last summer with Maizon (Passports)	Jacqueline Woodson	5	Paperback	Harcourt Brace & Co
9780156033077	All Art Is Propaganda	'George Orwell', 'Keith Gessen'	15.95	Paperback	Mariner Books
9780156767507	The Road to Wigan Pier	George Orwell	14	Paperback	Mariner Books
9780190677961	Assembly (Heretical Thought)	'Michael Hardt', 'Antonio Negri'	27.95	Hardcover	Oxford University Press
9780190677961	Assembly (Heretical Thought)	'Michael Hardt', 'Antonio Negri'	27.95	Hardcover	Oxford University Press
9780190690519	The Ways of the World	David Harvey	19.95	Paperback	Oxford University Press
9780199737239	Two Billion Cars: Driving Toward Sustainability	'Daniel Sperling', 'Deborah Gordon'	18.95	Paperback	Oxford University Press
9780199737239	Two Billion Cars: Driving Toward Sustainability	'Daniel Sperling', 'Deborah Gordon'	18.95	Paperback	Oxford University Press
9780199737239	Two Billion Cars: Driving Toward Sustainability	'Daniel Sperling', 'Deborah Gordon'	18.95	Paperback	Oxford University Press
9780252070679	Marian Anderson: A SINGER'S JOURNEY (Music in American Life)	Allan Keiler	22.95	Paperback	University of Illinois Press
9780252070679	Marian Anderson: A SINGER'S JOURNEY (Music in American Life)	Allan Keiler	22.95	Paperback	University of Illinois Press
9780252071874	The Spirit of Labor	Hutchins Hapgood	26	Paperback	University of Illinois Press
9780253210876	Reinventing the Sexes: The Biomedical Construction of Femininity and Masculinity (Race, Gender, & Scie)	'Marianne Van Den Wijngaard', 'Marianne Van Den Wijngaard'	14.95	Paperback	Indiana University Press
9780262072861	Subject to Display: Reframing Race in Contemporary Installation Art (MIT Press)	Jennifer A. González	32.95	Hardcover	The MIT Press
9780262072861	Subject to Display: Reframing Race in Contemporary Installation Art (MIT Press)	Jennifer A. González	32.95	Hardcover	The MIT Press
9780262072861	Subject to Display: Reframing Race in Contemporary Installation Art (MIT Press)	Jennifer A. González	32.95	Hardcover	The MIT Press
9780262512497	re:skin (MIT Press)	Mary Flanagan	5.75	Paperback	The MIT Press
9780262534420	What a City Is For: Remaking the Politics of Displacement (MIT Press)	Matt Hern	18.95	Paperback	The MIT Press
9780262562362	Blubberland: The Dangers of Happiness	Elizabeth Farrelly	20.95	Paperback	The MIT Press
9780262611497	Beneath the Surface: Critical Essays in the Philosophy of Deep Ecology	Eric Katz	7.75	Paperback	The MIT Press
9780262611497	Beneath the Surface: Critical Essays in the Philosophy of Deep Ecology	Eric Katz	7.75	Paperback	The MIT Press
9780262631860	Marshall McLuhan: The Medium and the Messenger	Philip Marchand	5.75	Paperback	The MIT Press
9780262631860	Marshall McLuhan: The Medium and the Messenger	Philip Marchand	5.75	Paperback	The MIT Press
9780262631860	Marshall McLuhan: The Medium and the Messenger	Philip Marchand	5.75	Paperback	The MIT Press
9780262633376	Discrepant Abstraction (Annotating Art's Histories: Cross-Cultural Perspectives in the Visual Arts)	Kobena Mercer	28.95	Paperback	The MIT Press
9780262720427	Gaia's Body: Toward a Physiology of Earth (MIT Press)	Tyler Volk	24.95	Paperback	The MIT Press
9780262720427	Gaia's Body: Toward a Physiology of Earth (MIT Press)	Tyler Volk	24.95	Paperback	The MIT Press
9780307275936	If Beale Street Could Talk	James Baldwin	14.95	Paperback	Vintage
9780316091015	The Sun's Heartbeat: And Other Stories from the Life of the Star That Powers Our Planet	Bob Berman	25.99	Hardcover	Little, Brown and Company
9780316091060	C Street: The Fundamentalist Threat to American Democracy (Back Bay Readers' Pick)	Jeff Sharlet	20.99	Paperback	Back Bay Books
9780374189976	Locking Up Our Own: Crime and Punishment in Black America	James Forman Jr.	27	Hardcover	Farrar, Straus and Giroux
9780374537197	Other Minds: The Octopus, the Sea, and the Deep Origins of Consciousness	Peter Godfrey-Smith	16	Paperback	Farrar, Straus and Giroux
9780393354324	Guns, Germs, and Steel: The Fates of Human Societies	Jared Diamond Ph.D.	18.95	Paperback	W. W. Norton & Company
9780399184352	The Knowledge Illusion: Why We Never Think Alone	'Steven Sloman', 'Philip Fernbach'	28	Hardcover	Riverhead Books
9780399590566	We Were Eight Years in Power: An American Tragedy	Ta-Nehisi Coates	28	Hardcover	One World
9780399590566	We Were Eight Years in Power: An American Tragedy	Ta-Nehisi Coates	28	Hardcover	One World
9780399590566	We Were Eight Years in Power: An American Tragedy	Ta-Nehisi Coates	28	Hardcover	One World
9780415902571	Inventing AIDS	Cindy Patton	29.95	Paperback	Routledge
9780452011502	Desire and Imagination : 20 Classic Essays in Sexuality	Regina Ph.D. Barreca	13.95	Paperback	Meridian Books
9780452011502	Desire and Imagination : 20 Classic Essays in Sexuality	Regina Ph.D. Barreca	13.95	Paperback	Meridian Books
9780525435136	Radical Hope: Letters of Love and Dissent in Dangerous Times	Carolina De Robertis	15.95	Paperback	Vintage
9780578090511	Driven by the Movement: Activists of the Black Power Era	JoNina Abron-Ervin	5.99	Paperback	P & L Press
9780578090511	Driven by the Movement: Activists of the Black Power Era	JoNina Abron-Ervin	5.99	Paperback	P & L Press
9780684832074	DIGITAL MOSAICS: The Esthetics of Cyberspace	Steven Holtzman	25	Hardcover	Simon & Schuster
9780691178479	Ethics in the Real World: 82 Brief Essays on Things That Matter	Peter Singer	17.95	Paperback	Princeton University Press
9780739190654	Getting Past Capitalism: History, Vision, Hope (Critical Studies on the Left)	Cynthia Kaufman	39.99	Paperback	Lexington Books
